Date;EURUSD;USDKZT;EURKZT;CROSS_RATIO;EURUSD_RET;USDKZT_RET;EURKZT_RET;SMA_5;SMA_10;SMA_20;EMA_5;EMA_10;EMA_20;RSI_14;MACD;MACD_SIGNAL;VOL_10;VOL_20
2019-01-25;1.1313496828079224;376.5299987792969;425.9870946866249;0.0030046734296755545;-0.006583448410776002;-0.0032083803164470927;-0.009791828727223097;429.58247970530863;430.60437262122616;431.7132223509801;429.0086777137678;429.8899901764876;429.55348612416833;44.97686587790414;1.0355295962943956;1.9025811118631246;0.004685684028800112;0.010577389027566058
2019-01-28;1.1413049697875977;375.0400085449219;428.0350256215024;0.0030431552468645315;0.008760988515929479;-0.003965012365862536;0.004795976150066946;428.9702387016099;430.2891128243533;431.86756297632746;428.68412701634605;429.55272389376296;429.40887083820013;43.91759408005679;0.8041778030158753;1.6829004500936748;0.005069424620994085;0.010627763455800644
2019-01-29;1.143000841140747;379.010009765625;433.20875996287214;0.0030157537048891253;0.0014848026534814308;0.010529905992136334;0.01201470864561777;429.5530494180588;430.15756944195346;431.4613177774496;430.19233799852145;430.2174577245101;429.77076504054986;57.14177642111793;1.0264744047102;1.5516152410169801;0.005969297534295527;0.006666268912067534
2019-01-30;1.1435366868972778;379.70001220703125;434.20089397408447;0.003011684619788121;0.0004686962359195961;0.0018188836621461284;0.0022875798980658752;430.32211004481724;430.38322980980774;431.1648752019839;431.5285233237091;430.9417188607963;430.1926820818389;51.085422779242144;1.2680852883598277;1.49490925048555;0.005663407717415316;0.006689275287464202
2019-01-31;1.1487650871276855;380.5899963378906;437.20850030302245;0.0030183796163360094;0.004561711164055767;0.0023411712040489465;0.0069028823681045485;431.7280549096213;431.07515319968115;431.2939689886527;433.4218489834803;432.08113366847374;430.8608552457612;61.196101303390655;1.6828534623213613;1.532498092852712;0.0057623972811522775;0.006270069314183426
2019-02-01;1.1449507474899292;378.95001220703125;433.8790997377582;0.0030213767267657714;-0.0033259073301630383;-0.004318368120139333;-0.007644275450302368;433.30645591984796;431.4444678125783;431.326080817171;433.57426590157297;432.4080365901618;431.14830710214187;54.744060474950324;1.723043257656741;1.570607125813518;0.0064581136034590056;0.006475798836677351
2019-02-04;1.1455278396606445;382.6400146484375;438.324789347942;0.002993748159645912;0.0005039053289246995;0.009690335183784461;0.010194240512709243;435.36440866513584;432.1673236833729;431.8169272676929;435.15777371702933;433.4838098188491;431.8317816017419;56.44695031608287;2.089537074670318;1.674393115584878;0.007106141666459629;0.00630246390592065
2019-02-05;1.1436283588409424;381.2099914550781;435.96255690154067;0.0029999957621145083;-0.0016595470915367278;-0.0037442556853066345;-0.005403802776843254;435.91516805286955;432.7341087354642;432.06356936152696;435.4260347785331;433.9344911066112;432.2251887731513;56.86689573284429;2.164423521624144;1.772399196792731;0.007384220333420472;0.006360434182282071
2019-02-06;1.140992522239685;375.3800048828125;428.3057785695855;0.003039566592247992;-0.0023074618573273305;-0.015411522733534851;-0.017718984590862297;434.7361449719698;432.5291275083935;432.018208949299;433.0526160422173;432.91108882715196;431.85191161090694;47.187340097443226;1.5876323123109728;1.7354458198963794;0.009542464471672268;0.007507961314706965
2019-02-07;1.1365960836410522;376.6499938964844;428.0989079661704;0.003017645299506963;-0.003860612972666276;0.003377498831206812;-0.0004831141414594483;432.91422650459936;432.3211407071103;431.7397144105198;431.40138001686836;432.03614685242803;431.4944826923606;47.04915780953911;1.1011351934904496;1.6085836946151937;0.00954243587820447;0.007095061407436611
